binder,MODEL1,n_copies,coverage,n_in_top,ligand_iptm,has_clash,cif
L011043,seed5/model.cif,1,1/1,1,0.6365,False,/path/to/L01/binders/L011043/results/pt2/seed_5/sample_0/model.cif
L011057,seed6/model.cif,1,1/1,1,0.6511,False,/path/to/L01/binders/04d_mmff/L011057.cif
L011070,seed2/model.cif,3,3/3,3,0.4782,False,/path/to/L01/binders/L011070/results/bt2/seed_2/sample_1/model.cif
L011110,seed6/model.cif,3,3/3,3,0.5609,False,/path/to/L01/binders/04c_refined/L011110.cif
L011124,seed5/model.cif,1,1/1,1,0.6495,False,/path/to/L01/binders/L011124/results/pt2/seed_5/sample_0/model.cif
L011140,seed3/model.cif,3,3/3,3,0.4611,False,/path/to/L01/binders/04c_refined/L011140.cif
L011159,seed3/model.cif,1,1/1,1,0.59,False,/path/to/L01/binders/L011159/results/af3/seed_3/sample_2/model.cif
L011160,seed2/model.cif,2,2/2,2,0.4861,False,/path/to/L01/binders/04c_refined/L011160.cif
L011166,seed4/model.cif,2,2/2,2,0.4805,False,/path/to/L01/binders/L011166/results/pt2/seed_4/sample_0/model.cif
L011167,seed3/model.cif,2,2/2,2,0.5048,False,/path/to/L01/binders/04c_refined/L011167.cif
L011177,seed3/model.cif,2,2/2,2,0.5383,False,/path/to/L01/binders/04c_refined/L011177.cif
L011179,seed6/model.cif,3,3/3,3,0.4222,False,/path/to/L01/binders/L011179/results/pt2/seed_6/sample_0/model.cif
L011199,seed5/model.cif,3,3/3,3,0.3882,False,/path/to/L01/binders/L011199/results/pt2/seed_5/sample_0/model.cif
L011207,seed6/model.cif,1,1/1,1,0.6449,False,/path/to/L01/binders/L011207/results/pt2/seed_6/sample_0/model.cif
