pocket_id,ligand_cluster_id,member_rank,rep_cif,valid,failed
L010462,2,1,/path/to/L01/binders/L010462/results/pt2/seed_4/sample_0/model.cif,True,
L010462,3,1,/path/to/L01/binders/L010462/results/pt2/seed_4/sample_0/model.cif,True,
L010537,0,1,/path/to/L01/binders/L010537/results/pt2/seed_4/sample_0/model.cif,True,
L010537,1,1,/path/to/L01/binders/L010537/results/pt2/seed_4/sample_0/model.cif,True,
L010547,0,1,/path/to/L01/binders/L010547/results/pt2/seed_2/sample_0/model.cif,True,
L010552,0,1,/path/to/L01/binders/L010552/results/pt2/seed_3/sample_1/model.cif,True,
L010553,0,1,/path/to/L01/binders/L010553/results/pt2/seed_2/sample_0/model.cif,True,
L010589,0,1,/path/to/L01/binders/L010589/results/bt2/seed_4/sample_2/model.cif,True,
L010589,1,1,/path/to/L01/binders/L010589/results/bt2/seed_4/sample_2/model.cif,True,
L010589,2,1,/path/to/L01/binders/L010589/results/bt2/seed_4/sample_2/model.cif,True,
L010594,0,1,/path/to/L01/binders/L010594/results/pt2/seed_5/sample_0/model.cif,True,
L010594,1,1,/path/to/L01/binders/L010594/results/pt2/seed_5/sample_0/model.cif,True,
L010621,0,1,/path/to/L01/binders/04d_mmff/L010621.cif,True,
L010626,0,1,/path/to/L01/binders/L010626/results/pt2/seed_1/sample_0/model.cif,True,
L010630,0,1,/path/to/L01/binders/L010630/results/pt2/seed_3/sample_0/model.cif,True,
L010630,1,1,/path/to/L01/binders/L010630/results/pt2/seed_3/sample_0/model.cif,True,
L010639,0,1,/path/to/L01/binders/04c_refined/L010639.cif,True,
L010639,1,1,/path/to/L01/binders/04c_refined/L010639.cif,True,
L010649,0,1,/path/to/L01/binders/L010649/results/bt2/seed_2/sample_0/model.cif,True,
L010649,1,1,/path/to/L01/binders/L010649/results/bt2/seed_2/sample_0/model.cif,True,
L010662,0,1,/path/to/L01/binders/L010662/results/bt2/seed_5/sample_0/model.cif,True,
L010662,1,1,/path/to/L01/binders/L010662/results/bt2/seed_5/sample_0/model.cif,True,
L010669,0,1,/path/to/L01/binders/L010669/results/bt2/seed_6/sample_0/model.cif,True,
L010669,1,1,/path/to/L01/binders/L010669/results/bt2/seed_6/sample_0/model.cif,True,
L010685,0,1,/path/to/L01/binders/L010685/results/bt2/seed_3/sample_0/model.cif,True,
L010685,1,1,/path/to/L01/binders/L010685/results/bt2/seed_3/sample_0/model.cif,True,
L010695,0,1,/path/to/L01/binders/04d_mmff/L010695.cif,True,
L010702,0,1,/path/to/L01/binders/L010702/results/pt2/seed_1/sample_4/model.cif,True,
L010702,1,1,/path/to/L01/binders/L010702/results/pt2/seed_1/sample_4/model.cif,True,
L010712,0,1,/path/to/L01/binders/L010712/results/pt2/seed_5/sample_1/model.cif,True,
L010712,1,1,/path/to/L01/binders/L010712/results/pt2/seed_5/sample_1/model.cif,True,
L010728,0,1,/path/to/L01/binders/L010728/results/bt2/seed_3/sample_3/model.cif,True,
L010728,1,1,/path/to/L01/binders/L010728/results/bt2/seed_3/sample_3/model.cif,True,
L010738,0,1,/path/to/L01/binders/L010738/results/pt2/seed_4/sample_0/model.cif,True,
L010761,0,1,/path/to/L01/binders/04c_refined/L010761.cif,True,
L010761,1,1,/path/to/L01/binders/04c_refined/L010761.cif,True,
L010770,0,1,/path/to/L01/binders/04d_mmff/L010770.cif,True,
L010770,1,1,/path/to/L01/binders/04d_mmff/L010770.cif,True,
L010782,0,1,/path/to/L01/binders/L010782/results/bt2/seed_1/sample_0/model.cif,True,
L010782,1,1,/path/to/L01/binders/L010782/results/bt2/seed_1/sample_0/model.cif,True,
L010782,2,1,/path/to/L01/binders/L010782/results/bt2/seed_1/sample_0/model.cif,True,
L010801,0,1,/path/to/L01/binders/L010801/results/pt2/seed_2/sample_1/model.cif,True,
L010807,0,1,/path/to/L01/binders/L010807/results/bt2/seed_3/sample_1/model.cif,True,
L010807,1,1,/path/to/L01/binders/L010807/results/bt2/seed_3/sample_1/model.cif,True,
L010886,0,1,/path/to/L01/binders/04d_mmff/L010886.cif,False,minimum_distance_to_protein;volume_overlap_with_protein
L010886,1,1,/path/to/L01/binders/04d_mmff/L010886.cif,True,
L010888,0,1,/path/to/L01/binders/L010888/results/pt2/seed_1/sample_0/model.cif,True,
L010906,0,1,/path/to/L01/binders/L010906/results/pt2/seed_1/sample_0/model.cif,True,
L010912,0,1,/path/to/L01/binders/L010912/results/pt2/seed_1/sample_0/model.cif,True,
L010918,0,1,/path/to/L01/binders/L010918/results/pt2/seed_6/sample_0/model.cif,True,
L010919,0,1,/path/to/L01/binders/L010919/results/pt2/seed_4/sample_1/model.cif,True,
L010919,1,1,/path/to/L01/binders/L010919/results/pt2/seed_4/sample_1/model.cif,True,
L010930,0,1,/path/to/L01/binders/04c_refined/L010930.cif,True,
L010930,1,1,/path/to/L01/binders/04c_refined/L010930.cif,True,
L010939,0,1,/path/to/L01/binders/L010939/results/pt2/seed_5/sample_0/model.cif,True,
L010943,0,1,/path/to/L01/binders/L010943/results/pt2/seed_4/sample_0/model.cif,True,
L010943,1,1,/path/to/L01/binders/L010943/results/pt2/seed_4/sample_0/model.cif,True,
L010984,0,1,/path/to/L01/binders/L010984/results/pt2/seed_4/sample_0/model.cif,True,
L010984,1,1,/path/to/L01/binders/L010984/results/pt2/seed_4/sample_0/model.cif,True,
L010993,0,1,/path/to/L01/binders/L010993/results/af3/seed_1/sample_3/model.cif,True,
L011019,0,1,/path/to/L01/binders/L011019/results/pt2/seed_6/sample_3/model.cif,True,
L011043,0,1,/path/to/L01/binders/L011043/results/pt2/seed_5/sample_0/model.cif,True,
L011057,0,1,/path/to/L01/binders/04d_mmff/L011057.cif,True,
L011070,0,1,/path/to/L01/binders/L011070/results/bt2/seed_2/sample_1/model.cif,True,
L011070,1,1,/path/to/L01/binders/L011070/results/bt2/seed_2/sample_1/model.cif,True,
L011070,2,1,/path/to/L01/binders/L011070/results/bt2/seed_2/sample_1/model.cif,True,
L011110,0,1,/path/to/L01/binders/04c_refined/L011110.cif,True,
L011110,1,1,/path/to/L01/binders/04c_refined/L011110.cif,True,
L011110,2,1,/path/to/L01/binders/04c_refined/L011110.cif,True,
L011124,0,1,/path/to/L01/binders/L011124/results/pt2/seed_5/sample_0/model.cif,True,
L011140,0,1,/path/to/L01/binders/04c_refined/L011140.cif,True,
L011140,1,1,/path/to/L01/binders/04c_refined/L011140.cif,True,
L011140,2,1,/path/to/L01/binders/04c_refined/L011140.cif,True,
L011159,0,1,/path/to/L01/binders/L011159/results/af3/seed_3/sample_2/model.cif,True,
L011160,0,1,/path/to/L01/binders/04c_refined/L011160.cif,True,
L011160,1,1,/path/to/L01/binders/04c_refined/L011160.cif,True,
L011166,0,1,/path/to/L01/binders/L011166/results/pt2/seed_4/sample_0/model.cif,True,
L011166,1,1,/path/to/L01/binders/L011166/results/pt2/seed_4/sample_0/model.cif,True,
L011167,0,1,/path/to/L01/binders/04c_refined/L011167.cif,True,
L011167,1,1,/path/to/L01/binders/04c_refined/L011167.cif,True,
L011177,0,1,/path/to/L01/binders/04c_refined/L011177.cif,True,
L011177,1,1,/path/to/L01/binders/04c_refined/L011177.cif,True,
L011179,0,1,/path/to/L01/binders/L011179/results/pt2/seed_6/sample_0/model.cif,True,
L011179,1,1,/path/to/L01/binders/L011179/results/pt2/seed_6/sample_0/model.cif,True,
L011179,2,1,/path/to/L01/binders/L011179/results/pt2/seed_6/sample_0/model.cif,True,
L011199,0,1,/path/to/L01/binders/L011199/results/pt2/seed_5/sample_0/model.cif,True,
L011199,1,1,/path/to/L01/binders/L011199/results/pt2/seed_5/sample_0/model.cif,True,
L011199,2,1,/path/to/L01/binders/L011199/results/pt2/seed_5/sample_0/model.cif,True,
L011207,0,1,/path/to/L01/binders/L011207/results/pt2/seed_6/sample_0/model.cif,True,
